Country Name,"Country Code","Series Name","Series Code","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
"Yemen, Rep.","YEM","Population, female","SP.POP.TOTL.FE.IN","8986445","9237162","9488026","9739899","9997157","10262472","10548931","10864747","11195418","11531790","11874775","12224951","12583615","12950282","13323201","13700388","14077389","14453847","14831892","15211556","15593113","15963067","16313210","16673411",""
"Yemen, Rep.","YEM","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","49.6089828774126","49.5856500990407","49.5627618355452","49.54005851179","49.5183343991884","49.4972798969933","49.4774812668888","49.460983366428","49.4463671151668","49.4311287357146","49.4173038082341","49.4058263787029","49.3947544337506","49.3844674779093","49.3744441613961","49.3648900325525","49.365689286693","49.37434587864","49.3830322301546","49.4033860364717","49.428680174412","49.4456828614357","49.4614867707765","49.4809686219512",""
"Yemen, Rep.","YEM","Population, male","SP.POP.TOTL.MA.IN","9128106","9391539","9655431","9920754","10191642","10470934","10771739","11101550","11446120","11797215","12154813","12518994","12891995","13273109","13660800","14052916","14439156","14820156","15202496","15578957","15953578","16320979","16668432","17023203",""
"Yemen, Rep.","YEM","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.3910116021638","50.4143552690204","50.4372381644548","50.45994148821","50.4816656008116","50.5027201030067","50.5225140428273","50.5390120811436","50.5536328848332","50.5688755507951","50.5826920302299","50.5941695799045","50.6052455662494","50.6155325220907","50.6255521327044","50.6351099674475","50.634310713307","50.6256575373603","50.6169644403287","50.5966139635283","50.571319825588","50.5543171385644","50.5385162612133","50.5190313780489",""
"Yemen, Rep.","YEM","Population, total","SP.POP.TOTL","18114552","18628700","19143457","19660653","20188799","20733406","21320671","21966298","22641538","23329004","24029589","24743946","25475610","26223391","26984002","27753304","28516545","29274002","30034389","30790513","31546691","32284046","32981641","33696614",""
"Yemen, Rep.","YEM","Net migration","SM.POP.NETM","-82761","-87753","-93742","-99706","-104794","-102701","-51360","-24072","-26971","-28242","-27870","-25573","-21770","-20983","-23747","-30048","-38355","-39688","-39672","-39699","-39769","-86100","-101468","-29998","-29914"
"Yemen, Rep.","YEM","Population growth (annual %)","SP.POP.GROW","2.83546955747621","2.79878090986914","2.72575839716245","2.66583425909229","2.65086168454782","2.66182702320952","2.79308557038497","2.98322980970804","3.02768141948774","2.99112094190605","2.95885526727336","2.92949070515169","2.914067083312","2.8930274863714","2.85923731473568","2.81107242907205","2.71295489821162","2.6215373231585","2.56432067801961","2.48635978893057","2.42620792944992","2.31044739697631","2.137789700681","2.14462842106017",""
"Yemen, Rep.","YEM","Urban population","SP.URB.TOTL","4664859","4893201","5127958","5370307","5622379","5886214","6169349","6477861","6804009","7143108","7495790","7862636","8244926","8642705","9055561","9481916","9917199","10361240","10817186","11282260","11758398","12238236","12713103","13205029",""
"Yemen, Rep.","YEM","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","25.752","26.267","26.787","27.315","27.849","28.39","28.936","29.49","30.051","30.619","31.194","31.776","32.364","32.958","33.559","34.165","34.777","35.394","36.016","36.642","37.273","37.908","38.546","39.188",""
"Yemen, Rep.","YEM","Rural population","SP.RUR.TOTL","13449693","13735499","14015499","14290346","14566420","14847192","15151322","15488437","15837529","16185896","16533799","16881310","17230684","17580686","17928441","18271388","18599346","18912762","19217203","19508253","19788293","20045810","20268538","20491585",""
"Yemen, Rep.","YEM","Rural population (% of total population)","SP.RUR.TOTL.ZS","74.248","73.733","73.213","72.685","72.151","71.61","71.064","70.51","69.949","69.381","68.806","68.224","67.636","67.042","66.441","65.835","65.223","64.606","63.984","63.358","62.727","62.092","61.454","60.812",""
"Yemen, Rep.","YEM","Population ages 0-14 (% of total population)","SP.POP.0014.TO.ZS","49.7606137253798","49.3471726597354","48.8832581283516","48.382707542387","47.8679662916056","47.3456724862283","46.7687613295276","46.1300999861265","45.4773832060349","44.831245260192","44.2101765496317","43.6324251522458","43.1496164370549","42.7466863981604","42.375582391374","42.0274987799651","41.7028290068099","41.4077661570194","41.1184133147908","40.8203971921546","40.5034366361911","40.1889084811258","39.8721073358341","39.4972429574081",""
"Yemen, Rep.","YEM","Population ages 15-64 (% of total population)","SP.POP.1564.TO.ZS","47.5598830034517","47.9750506483262","48.4367374189521","48.9300189808044","49.4347509230242","49.9475267112408","50.5159652460273","51.1472541059776","51.7932836541405","52.4322577166175","53.0447972506895","53.6122866904957","54.0811564472843","54.4675544529606","54.8288445131304","55.1763098188237","55.5107955749899","55.821782484305","56.1245786642202","56.4338933949216","56.7598310073155","57.0927069843214","57.4388542789782","57.8405281314022",""
"Yemen, Rep.","YEM","Population ages 65 and above (% of total population)","SP.POP.65UP.TO.ZS","2.67950327116849","2.67777669193833","2.68000445269629","2.68727347680856","2.69728278537024","2.70680080253095","2.71527342444507","2.72264590789595","2.72933313982469","2.73649702319053","2.74502619967878","2.75528815725851","2.76922711566082","2.78575914887894","2.79557309549562","2.79619140121119","2.78637541820021","2.77045135867567","2.75700802098901","2.74570941292387","2.73673235649343","2.71838453455283","2.68903838518771","2.66222891118971",""
"Yemen, Rep.","YEM","Birth rate, crude (per 1,000 people)","SP.DYN.CBRT.IN","41.105","40.24","39.236","38.654","38.546","38.214","37.917","37.776","37.177","36.722","36.2","35.791","35.49","35.125","34.794","34.428","33.933","33.348","32.713","32.305","31.778","31.252","30.544","29.919",""
"Yemen, Rep.","YEM","GDP (current US$)","NY.GDP.MKTP.CD","7639325295.88287","9679316770.18633","9852990692.98714","10693430511.4664","11777532662.0499","13867634371.4773","16731566717.1888","19063143369.858","21650528674.0933","26910855807.288","25130278212.5575","30906749533.221","32726417878.391","35401331609.5916","40415233436.1767","43228585321.3272","42444489522.2303","31317824943.2073","26842228828.5629","21606160783.9845","","","","",""
